s1,s2,s3,s4,v_x,v_y
2281.0,2222.0,3292.0,3421.0,-20.0,-0.4081
2230.0,2227.0,3324.0,3423.0,-20.0,-0.3531
2340.0,2166.0,3361.0,3458.0,-20.0,-0.4384
2367.0,2238.0,3407.0,3431.0,-18.4799,-0.361
2376.0,2252.0,3387.0,3400.0,-18.4509,-0.3545
2350.0,2266.0,3352.0,3460.0,-18.5172,-0.2707
2327.0,2192.0,3399.0,3404.0,-20.0,-0.2885
2246.0,2235.0,3343.0,3413.0,-18.9616,-0.211
2263.0,2201.0,3319.0,3429.0,-20.0,-0.2
2298.0,2192.0,3327.0,3409.0,-20.0,-0.2083
2289.0,2233.0,3373.0,3422.0,-20.0,-0.2801
2341.0,2260.0,3386.0,3406.0,-20.0,-0.3149
2305.0,2237.0,3308.0,3405.0,-14.6638,-0.2878
2354.0,2206.0,3377.0,3416.0,-18.7837,-0.3435
2323.0,2247.0,3383.0,3385.0,-20.0,-0.2518
2211.0,2141.0,3257.0,3421.0,-18.4617,-0.329
2273.0,2193.0,3317.0,3428.0,-20.0,-0.2901
2345.0,2207.0,3328.0,3406.0,-20.0,-0.3008
2242.0,2102.0,3405.0,3385.0,-18.7522,-0.2908
2228.0,2160.0,3413.0,3408.0,-20.0,-0.2393
2225.0,2150.0,3444.0,3446.0,-20.0,-0.2714
2226.0,2034.0,3519.0,3533.0,-20.0,-0.3742
2146.0,2044.0,3387.0,3516.0,-20.0,-0.3138
2226.0,2115.0,3477.0,3514.0,-20.0,-0.3031
2193.0,2110.0,3477.0,3511.0,-20.0,-0.339
2187.0,2058.0,3488.0,3534.0,-20.0,-0.3483
2260.0,2165.0,3484.0,3549.0,-20.0,-0.327
2229.0,2046.0,3550.0,3413.0,-20.0,-0.3077
2162.0,2082.0,3509.0,3412.0,-20.0,-0.3624
2194.0,2112.0,3429.0,3420.0,-20.0,-0.2886
2228.0,2088.0,3497.0,3412.0,-20.0,-0.2824
2206.0,2046.0,3493.0,3536.0,-20.0,-0.2603
2238.0,2083.0,3508.0,3532.0,-20.0,-0.3271
2142.0,2016.0,3451.0,3505.0,-20.0,2.2523
2252.0,2085.0,3522.0,3549.0,-20.0,-0.3828
2222.0,2025.0,3484.0,3415.0,-20.0,-0.3553
2159.0,2041.0,3526.0,3509.0,-20.0,-0.3124
2151.0,2052.0,3388.0,3409.0,-20.0,-0.2988
2195.0,2087.0,3478.0,3414.0,-20.0,-0.3192
2196.0,2062.0,3448.0,3523.0,-20.0,-0.322
2206.0,2115.0,3509.0,3492.0,-20.0,-0.3246
2199.0,2069.0,3474.0,3517.0,-20.0,2.2694
2161.0,2063.0,3457.0,3515.0,-20.0,-0.2876
2190.0,2093.0,3479.0,3406.0,-20.0,2.2697
2135.0,2072.0,3508.0,3502.0,-20.0,-0.2631
2165.0,2111.0,3503.0,3409.0,-20.0,-0.3236
2264.0,2150.0,3409.0,3448.0,-20.0,2.2117
2304.0,2318.0,3348.0,3418.0,-17.0231,-0.2459
2428.0,2442.0,3212.0,3237.0,-9.4084,-0.2871
2531.0,2641.0,3033.0,3029.0,-3.0635,-0.1637
2795.0,2866.0,2679.0,2769.0,-0.3901,0.0099
3055.0,3172.0,2496.0,2492.0,1.7783,0.146
3382.0,3281.0,2420.0,2239.0,5.8033,0.3811
3188.0,3330.0,2378.0,2274.0,8.1668,0.4151
3153.0,3303.0,2317.0,2196.0,6.1191,0.3625
3328.0,3445.0,2425.0,2280.0,12.9662,0.3814
3362.0,3405.0,2359.0,2169.0,15.7294,0.3369
3328.0,3421.0,2368.0,2193.0,15.6022,0.3953
3349.0,3396.0,2382.0,2097.0,17.3881,0.4062
3291.0,3396.0,2286.0,2101.0,20.0,0.4299
3376.0,3436.0,2293.0,2131.0,20.0,0.381
3367.0,3474.0,2304.0,2099.0,20.0,0.4025
3359.0,3471.0,2323.0,2060.0,18.7594,0.427
3317.0,3487.0,2308.0,2124.0,17.4592,0.4567
3374.0,3428.0,2334.0,2043.0,20.0,0.4325
3356.0,3474.0,2293.0,2077.0,18.527,0.4161
3345.0,3442.0,2317.0,2100.0,20.0,0.3842
3313.0,3442.0,2260.0,2151.0,20.0,0.3602
3305.0,3439.0,2285.0,2114.0,20.0,0.4348
3351.0,3478.0,2365.0,2123.0,18.9662,0.4391
3335.0,3435.0,2378.0,2066.0,20.0,0.4184
3332.0,3457.0,2237.0,2212.0,20.0,0.2965
3350.0,3461.0,2281.0,2091.0,18.6708,0.4165
3385.0,3486.0,2325.0,2123.0,18.3465,0.4268
3258.0,3478.0,2292.0,2053.0,18.4984,0.4413
3382.0,3494.0,2235.0,2045.0,20.0,0.4273
3302.0,3539.0,2304.0,1985.0,20.0,0.4505
3343.0,3527.0,2277.0,2002.0,20.0,0.4699
3417.0,3414.0,2237.0,2003.0,20.0,0.5797
3295.0,3419.0,2314.0,2038.0,20.0,0.5594
3295.0,3409.0,2320.0,1984.0,18.7157,0.5497
3364.0,3414.0,2321.0,1998.0,20.0,0.5383
3332.0,3410.0,2325.0,2003.0,20.0,0.5862
3361.0,3414.0,2334.0,2049.0,18.5047,0.5485
3337.0,3415.0,2366.0,1957.0,18.6165,0.5773
3349.0,3411.0,2284.0,1987.0,20.0,0.5628
3343.0,3412.0,2246.0,2053.0,20.0,0.5208
3311.0,3482.0,2308.0,2038.0,18.2901,0.5479
3315.0,3412.0,2363.0,1975.0,20.0,0.5016
3317.0,3412.0,2219.0,1982.0,18.2079,0.6015
3351.0,3409.0,2233.0,1999.0,17.9626,0.6894
3331.0,3411.0,2087.0,1982.0,20.0,0.3757
3370.0,3407.0,2272.0,2009.0,20.0,0.467
3359.0,3415.0,2309.0,1925.0,20.0,0.5495
3345.0,3413.0,2260.0,2008.0,20.0,0.6158
3332.0,3414.0,2207.0,1977.0,20.0,0.4182
3319.0,3413.0,2290.0,1930.0,20.0,0.5574
3340.0,3408.0,2138.0,1894.0,20.0,0.5554
3305.0,3412.0,2271.0,1958.0,20.0,0.59
3335.0,3412.0,2243.0,2012.0,18.1235,0.6068
3335.0,3513.0,2305.0,1962.0,20.0,0.5841
3295.0,3415.0,2207.0,1934.0,18.9796,0.5063
3318.0,3415.0,2210.0,2044.0,20.0,0.5714
3302.0,3497.0,2270.0,1982.0,20.0,0.5185
3336.0,3509.0,2256.0,2003.0,20.0,0.5569
3348.0,3412.0,2384.0,1894.0,20.0,0.6305
3291.0,3415.0,2192.0,2049.0,20.0,0.5216
3334.0,3413.0,2274.0,2010.0,20.0,0.5645
3347.0,3415.0,2202.0,1980.0,20.0,0.4792
3370.0,3413.0,2222.0,1951.0,20.0,0.5343
3084.0,3439.0,2257.0,1993.0,18.1227,0.5109
3351.0,3414.0,2230.0,1963.0,20.0,0.561
3271.0,3479.0,2340.0,2049.0,18.6014,0.5665
3371.0,3410.0,2260.0,1966.0,20.0,0.5158
3295.0,3416.0,2221.0,2034.0,20.0,0.5177
3349.0,3517.0,2181.0,1924.0,20.0,0.5888
3339.0,3495.0,2225.0,1911.0,18.0168,-0.0742
3300.0,3498.0,2193.0,1931.0,20.0,0.4481
3413.0,3409.0,2765.0,2463.0,20.0,0.595
