T,s1,s2,s3,s4,v_x,v_y
6800606,18,36,111,153,-000.0790,-000.0240
6800693,16,36,121,182,-000.0930,-000.0300
6800780,16,31,118,179,-000.0930,-000.0320
6800868,14,32,104,169,-000.0850,-000.0320
6800955,14,32,109,179,-000.0900,-000.0340
6801042,14,32,115,154,-000.0840,-000.0230
6801130,12,32,106,136,-000.0750,-000.0190
6801217,16,33,136,162,-000.0930,-000.0190
6801304,14,33,115,160,-000.0850,-000.0250
6801392,16,32,113,159,-000.0840,-000.0260
6801479,14,32,122,176,-000.0940,-000.0280
6801566,15,32,129,163,-000.0910,-000.0220
6801653,15,33,115,160,-000.0850,-000.0250
6801741,14,32,114,155,-000.0840,-000.0240
6801828,14,32,128,169,-000.0930,-000.0240
6801916,13,33,130,191,-000.1020,-000.0300
6802003,12,32,118,169,-000.0900,-000.0270
6802090,14,32,128,154,-000.0880,-000.0190
6802177,16,33,119,157,-000.0850,-000.0230
6802265,15,32,144,162,-000.0960,-000.0160
6802352,14,32,106,153,-000.0800,-000.0260
6802439,11,34,112,153,-000.0820,-000.0220
6802527,16,32,91,144,-000.0710,-000.0290
6802614,14,32,112,150,-000.0810,-000.0230
6802702,16,34,103,139,-000.0730,-000.0220
6802789,11,33,113,148,-000.0810,-000.0210
6802876,12,34,110,147,-000.0790,-000.0210
6802963,11,32,102,131,-000.0720,-000.0190
6803050,14,33,102,137,-000.0730,-000.0220
6803138,16,33,104,160,-000.0810,-000.0290
6803225,14,32,99,147,-000.0760,-000.0260
6803312,14,34,138,175,-000.0980,-000.0220
6803400,16,34,130,195,-000.1020,-000.0320
6803487,18,32,138,200,-000.1060,-000.0330
6803574,17,33,131,177,-000.0960,-000.0260
6803662,13,34,112,171,-000.0880,-000.0290
6803749,11,32,112,169,-000.0890,-000.0280
6803837,13,33,128,176,-000.0960,-000.0260
6803924,12,32,120,174,-000.0930,-000.0280
6804011,16,32,128,161,-000.0900,-000.0220
6804098,16,36,129,171,-000.0920,-000.0240
6804186,14,32,107,163,-000.0840,-000.0290
6804273,14,33,112,169,-000.0870,-000.0290
6804360,16,32,118,160,-000.0860,-000.0250
6804448,16,29,107,163,-000.0840,-000.0310
6804535,14,32,104,161,-000.0820,-000.0290
6804622,11,34,101,144,-000.0760,-000.0230
6804709,14,36,99,120,-000.0650,-000.0160
6804797,14,36,116,153,-000.0820,-000.0210
6804884,11,32,120,145,-000.0830,-000.0170
6804971,14,32,104,160,-000.0820,-000.0290
6805059,12,34,114,173,-000.0900,-000.0290
6805146,14,32,115,161,-000.0860,-000.0260
6805233,18,32,118,155,-000.0840,-000.0240
6805321,14,34,110,168,-000.0860,-000.0290
6805408,18,32,123,161,-000.0870,-000.0240
6805495,16,29,112,170,-000.0880,-000.0320
6805582,15,33,112,146,-000.0790,-000.0220
6805670,16,33,116,153,-000.0830,-000.0230
6805757,16,33,128,163,-000.0900,-000.0220
