T,s1,s2,s3,s4,v_x,v_y
2803602,3852,3920,3124,3661,+000.0000,+000.0000
2992988,3537,3622,3593,3644,+000.0000,+000.0000
3081746,3701,3775,3336,3647,+000.0000,+000.0000
7218345,2835,2889,2963,2927,-000.5400,+000.1020
7305393,48,28,32,32,-000.0060,-000.0250
7392708,50,27,33,32,-000.0060,-000.0250
7479936,50,32,40,32,-000.0060,-000.0210
7567252,48,27,31,32,-000.0060,-000.0250
7654488,49,28,35,32,-000.0060,-000.0240
7741806,48,23,35,32,-000.0080,-000.0250
20006,48,32,33,30,-000.0040,-000.0220
107324,49,27,34,30,-000.0060,-000.0240
194552,48,27,35,32,-000.0070,-000.0240
281873,52,26,36,32,-000.0060,-000.0250
369105,46,27,32,32,-000.0070,-000.0240
456420,48,28,32,32,-000.0060,-000.0250
543653,48,27,34,32,-000.0070,-000.0240
630972,48,25,32,32,-000.0070,-000.0260
718197,52,25,34,32,-000.0060,-000.0260
805516,48,30,32,32,-000.0050,-000.0240
892742,48,25,32,32,-000.0070,-000.0260
980060,49,25,35,32,-000.0070,-000.0250
1067287,48,27,34,32,-000.0070,-000.0240
1154611,50,26,34,32,-000.0060,-000.0250
1241846,49,25,33,32,-000.0070,-000.0260
1329158,48,27,34,32,-000.0070,-000.0240
1416387,50,26,34,32,-000.0060,-000.0250
1503702,46,27,33,31,-000.0070,-000.0240
1590928,49,26,36,32,-000.0070,-000.0240
1678246,49,27,32,32,-000.0060,-000.0250
1765474,45,28,34,32,-000.0070,-000.0230
1852794,49,27,34,32,-000.0060,-000.0250
1940028,50,27,34,30,-000.0050,-000.0240
2027349,49,27,33,32,-000.0060,-000.0250
2114584,49,27,33,32,-000.0060,-000.0250
2201812,49,25,32,32,-000.0060,-000.0260
2289125,51,26,35,31,-000.0060,-000.0250
2376359,48,27,34,32,-000.0070,-000.0240
2463684,50,32,35,32,-000.0050,-000.0230
2550915,48,26,34,27,-000.0050,-000.0230
2638233,47,43,32,32,-000.0010,-000.0190
2725464,64,56,30,27,+000.0120,-000.0200
2812778,92,83,32,32,+000.0280,-000.0210
2900010,95,89,33,27,+000.0320,-000.0180
2987326,112,113,33,31,+000.0450,-000.0170
3074559,147,153,30,30,+000.0730,-000.0160
3161876,184,202,36,32,+000.1000,-000.0110
3249107,241,256,32,32,+000.1410,-000.0130
3336422,275,285,30,32,+000.1650,-000.0160
3423652,315,321,33,32,+000.1920,-000.0160
3510971,370,387,34,32,+000.2370,-000.0120
3598204,411,440,32,33,+000.2730,-000.0090
3685524,440,481,33,32,+000.3000,-000.0040
3772755,481,528,32,32,+000.3350,-000.0020
3860074,558,626,32,32,+000.4050,+000.0060
3947306,599,683,34,34,+000.4430,+000.0120
4034623,625,722,33,32,+000.4720,+000.0170
4121855,683,803,33,27,+000.5320,+000.0280
4209088,739,876,30,30,+000.5880,+000.0320
4296410,769,921,33,31,+000.6200,+000.0390
4383647,832,1005,33,32,+000.6870,+000.0470
4470967,857,1038,33,32,+000.7130,+000.0510
4558193,898,1096,32,32,+000.7600,+000.0580
4645514,961,1164,33,27,+000.8250,+000.0630
4732748,995,1225,35,32,+000.8690,+000.0730
4820065,1025,1269,34,32,+000.9070,+000.0790
4907300,1075,1338,32,32,+000.9690,+000.0870
4994539,1112,1381,32,32,+001.0110,+000.0900
5081862,1145,1430,36,32,+001.0530,+000.0990
5169090,1158,1450,33,32,+001.0720,+000.1010
5256411,1176,1466,30,34,+001.0910,+000.0980
5343644,1205,1502,34,32,+001.1270,+000.1040
5430965,1245,1541,32,34,+001.1710,+000.1030
5518207,1247,1552,33,27,+001.1800,+000.1100
5605529,1267,1572,33,30,+001.2020,+000.1100
5692760,1291,1582,40,29,+001.2200,+000.1070
5779995,1314,1621,35,36,+001.2560,+000.1100
5867313,1339,1643,35,31,+001.2850,+000.1110
5954549,1360,1670,32,32,+001.3150,+000.1120
6041871,1371,1686,34,32,+001.3310,+000.1160
6129103,1393,1709,33,27,+001.3600,+000.1190
6216423,1416,1725,34,27,+001.3840,+000.1160
6303656,1433,1743,33,32,+001.4040,+000.1150
6390975,1466,1777,33,32,+001.4470,+000.1160
6478212,1503,1817,32,32,+001.4970,+000.1180
6565447,1509,1823,33,32,+001.5050,+000.1180
6652776,1530,1844,34,32,+001.5320,+000.1190
6740016,1530,1840,33,32,+001.5300,+000.1170
6827338,1545,1856,32,32,+001.5510,+000.1170
6914570,1548,1860,40,32,+001.5530,+000.1210
7001888,1544,1856,32,27,+001.5520,+000.1200
7089116,1562,1870,33,32,+001.5710,+000.1170
7176429,1603,1913,30,32,+001.6300,+000.1170
7263662,1636,1941,32,32,+001.6720,+000.1170
7350982,1657,1963,32,32,+001.7020,+000.1180
7438205,1695,2000,32,36,+001.7550,+000.1160
7525519,1715,2016,32,32,+001.7830,+000.1170
7612749,1747,2050,34,32,+001.8320,+000.1190
7700070,1800,2109,33,32,+001.9180,+000.1230
7787307,1859,2166,32,34,+002.0110,+000.1220
